name,key,genre,SammyJ,benbruno,Jer,SammyN,Scott
A Little Heart's Ease,G,,y,,,,
Angeline the Baker,D,Bluegrass,y,y,y,y,y
Apple Blossom,Dm,Old-time,,y,,,
April's Waltz,G,,y,,,,
Arkansas Traveler,D,Bluegrass,y,y,y,y,y
Ashland Breakdown,C,Bluegrass,y,y,,,
Ashokan Farewell,D,Old-time,y,y,y,,
Back Up and Push,C,Bluegrass,y,y,y,,
Bally Desmond Polka,A,Irish,y,y,,,
Banish Misfortune,D,Irish,y,y,,,
Banks of the Ohio,E,Old-time,y,y,y,,
Banshee,G,Irish,,y,,,
Beaumont Rag,D,Bluegrass,y,y,y,,y
Big John McNeil,A,Bluegrass,y,y,,,
Big Mon,A,Bluegrass,y,y,y,,
Big Sandy River,A,Bluegrass,y,y,y,,
Big Sciota,G,Bluegrass,y,y,y,y,y
Bile 'Em Cabbage Down,A,Bluegrass,y,y,y,,
Bill Cheatham,A,Bluegrass,y,y,y,,
Bill Sullivan's Polka,D,Irish,y,y,,,
Bill's Dream,G,Bluegrass,y,y,,,
Billy in the Lowground,C,Bluegrass,y,y,y,y,y
Birdie,C,Bluegrass,y,y,,,
Birdland Bounce,Dm,Bluegrass,y,y,,,
Black Canyon,Gm,Bluegrass,y,y,,,
Blackberry Blossom,G,Bluegrass,y,y,y,y,y
Blue Eagle,D,Bluegrass,y,y,,,
Blue Goose,G,Old-time,,y,,,
Blue River Waltz,C,Old-time,y,y,,,
Bluegrass Special,A,Bluegrass,y,,,,
Bluegrass Stomp,D,Bluegrass,y,y,y,,
Bluegrass Twist,G,Bluegrass,y,,,,
Bonaparte Crossing the Rhine,D,Old-time,y,y,y,,
Bonaparte Crossing the Rockies,Am,Old-time,y,y,y,,
Bonaparte's Retreat,D,Old-time,y,y,,,
Bonnie Kate,D,Irish,,y,,,
Boston Boy,C,Bluegrass,y,y,y,,
Boys of Malin,A,Irish,y,y,,,
Brenda Stubbert's Reel,Am,cape breton,y,y,,,
Breton Gavottes,Am,breton,,y,,,
Brian Boru's March,Am,Irish,y,y,,,
Brilliancy,A,Old-time,y,y,y,,
Britches Full of Stitches,A,Irish,y,y,y,,
Brown County Breakdown,E,Bluegrass,y,y,y,,
Buffalo Gals,C,Old-time,y,y,,y,
Bumblebee in a Jug,C,Old-time,y,y,,,
The Butterfly,Em,Irish,y,y,,,
Cajun Fiddle,A,cajun,y,y,,,
